S1,S2,S3,S4,S5,S6,S7
0.16,-0.0031999999999999,0.0004999999999999,0.0008,-5.293955920339377e-23,0.0,-2.912000000000001e-07
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.0063999999999999,0.0045,0.005,5.000000000000001e-06,0.0002,-1.915000000000001e-06
0.21,0.0015,0.0104,0.0072,1.7279999999999997e-05,0.000432,8.899199999999998e-06
0.2299999999999999,0.0087,0.0144,0.0113,1.0009999999999996e-05,0.000911,6.639999999999998e-06
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0016,0.0036,0.0032,-0.0,0.000128,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.16,-0.0031999999999999,0.0,0.0001,1e-08,1.999999999999999e-06,-0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
