S1,S2,S3,S4,S5,S6,S7
0.18,0.0111999999999999,0.002,0.0008,6.4e-07,1.6000000000000003e-05,3.36e-07
0.19,0.0133,0.0026,0.0013,1.01e-06,3.5000000000000004e-05,1.9150000000000001e-07
0.1699999999999999,0.0032999999999999,0.0002,0.0002,-4.0000000000000014e-08,-8.000000000000001e-06,-1.8400000000000006e-08
0.19,0.0133,0.0026,0.0013,1.01e-06,3.5000000000000004e-05,1.9150000000000001e-07
0.19,0.0016999999999999,0.008,0.0041,1.289e-05,0.000249,7.374400000000002e-06
0.18,-0.0035999999999999,0.0009,0.0002,4e-08,1.2e-05,-2.000000000000018e-10
0.21,-0.0041,0.0005,0.0018,-1.0800000000000002e-06,-0.0001439999999999,-1.5966e-06
0.18,0.0111999999999999,0.0026,0.0013,1.01e-06,5.4e-05,1.9150000000000001e-07
0.1699999999999999,0.0020999999999999,0.0026,0.0018,1.0799999999999998e-06,3.5999999999999994e-05,5.525999999999999e-07
0.22,-0.0068,0.0005,0.0018,-1.0800000000000002e-06,-0.0001439999999999,-1.5948000000000002e-06
